第四十一回刘玄德携民渡江赵子龙单骑救主	HỒI 41 Lưu Huyền Đức đưa dân qua sông; Triệu Tử Long một ngựa cứu chúa.
操曰：“他去恐不复来。”	Tháo nói: - E hắn đi không trở về?
晔曰：“他若不来，贻笑于人矣。 丞相勿疑。”	Hoa nói: - Nếu hắn đi không trở về, thiên hạ sẽ chê cười hắn, thừa tướng không phải lo điều ấy.
操乃召徐庶至，谓曰：“我本欲踏平樊城，奈怜众百姓之命。	Tháo lập tức gọi Từ Thứ đến bảo rằng: - Ta muốn san phẳng Phàn Thành, nhưng nghĩ lại thương dân.
公可往说刘备：如肯来降，免罪赐爵；若更执迷，军民共戮，玉石俱焚。	Ông hãy đến dụ Lưu Bị, nếu y lại hàng, sẽ được tha tội và phong tước; ví bằng y ngoan cố thì quân dân đều chết, đá ngọc nát tan.
吾知公忠义，故特使公往。 愿勿相负。	Tôi biết ông là người trung nghĩa, nên mới nhờ ông việc này, xin chớ phụ nhau.
徐庶受命而行。 至樊城，玄德、孔明接见，共诉旧日之情。	Từ Thứ lĩnh mệnh đến Phàn Thành. Huyền Đức, Khổng Minh ra đón, hai bên cùng kể lể tình xưa nghĩa cũ.
庶曰：“曹操使庶来招降使君，乃假买民心也，今彼分兵八路，填白河而进。 樊城恐不可守，宜速作行计。”	Thứ nói: - Tào Tháo sai tôi đến đây dụ sứ quân, chẳng qua giả danh mua chuộc lòng người đó thôi. Nay Tháo chia quân làm tám đạo, lấp sông Bạch hà mà tiến, tôi e Phàn Thành không giữ được, nên liệu mà đi chỗ khác.
玄德欲留徐庶。	Lưu Bị muốn lưu Từ Thứ ở lại.
庶谢曰：“某若不还，恐惹人笑。	Thứ tạ nói rằng: - Nếu tôi không trở về, tất thiên hạ chê cười.
今老母已丧，抱恨终天。	Nay mẹ già đã mất, thôi đành ôm hận suốt đời.
身虽在彼，誓不为设一谋，公有卧龙辅佐，何愁大业不成。	Vả thân tôi tuy ở bên đó song thề chết không bày một kế gì. Sứ quân đã có Ngọa Long giúp đỡ, lo gì nghiệp lớn chẳng thành.
庶请辞。”	Thứ xin từ biệt.
玄德不敢强留。	Huyền Đức không dám ép nài.
徐庶辞回，见了曹操，言玄德并无降意。	Từ Thứ về ra mắt Tào Tháo, nói Lưu Bị không chịu hàng.
操大怒，即日进兵。	Tháo giận lắm, ngay hôm ấy hạ lệnh tiến quân.
玄德问计于孔明。 孔明曰：“可速弃樊城，取襄阳暂歇。”	Huyền Đức hỏi kế Khổng Minh, Khổng Minh nói: - Phải cấp tốc bỏ Phàn Thành, lấy Tương Dương tạm trú.
玄德曰：“奈百姓相随许久，安忍弃之？”	Huyền Đức lại hỏi: - Thế còn trăm họ đi theo đã lâu, sao nỡ bỏ?
孔明曰：“可令人遍告百姓：有愿随者同去，不愿者留下。”	Khổng Minh lại bảo: - Nên sai người thông báo cho nhân dân biết là ai muốn đi theo thì đi, ai không muốn đi thì ở lại.
先使云长往江岸整顿船只，令孙乾、简雍在城中声扬曰：“今曹兵将至，孤城不可久守，百姓愿随者，便同过江。”	Trước hết sai Quan Vũ ra bờ sông sắp sẵn thuyền bè; Tôn Càn, Giản Ung thì đi loan báo khắp thành rằng: - Nay quân Tào sắp đến, thành trì trơ trọi này không thể cầm cự lâu được, trăm họ ai muốn đi theo thì cùng sang sông.
两县之民，齐声大呼曰：“我等虽死，亦愿随使君！”	Dân hai huyện đồng thanh reo lên rằng: - Dù chết, chúng tôi cũng vui lòng theo sứ quân.
即日号泣而行。	Liền đó, trăm họ khóc lóc ra đi.
扶老携幼，将男带女，滚滚渡河，两岸哭声不绝。	Già trẻ dắt díu, trai gái bế bồng, lũ lượt sang đò. Hai bờ sông, tiếng khóc như ri.
玄德于船上望见，大恸曰：“为吾一人而使百姓遭此大难，吾何生哉！”	Huyền Đức ở trên thuyền trông thấy, rất cảm động nói: - Chỉ vì một mình ta, mà để trăm họ mắc nạn lớn, ta sống làm chi?
欲投江而死，左右急救止。	Nói rồi, định đâm đầu xuống sông. Tả hữu vội vàng ngăn lại.
闻者莫不痛哭。	Nghe thấy thế ai cũng đau lòng xót ruột.
船到南岸，回顾百姓，有未渡者，望南而哭。	Khi thuyền đi đến bờ phía nam, ngoảnh lại thấy những người ở lại, đều hướng cả về nam mà khóc.
玄德急令云长催船渡之，方才上马。	Huyền Đức lại sai Vân Trường giục thuyền sang chở nốt rồi mới lên ngựa.
行至襄阳东门，只见城上遍插旌旗，壕边密布鹿角，玄德勒马大叫曰：“刘琮贤侄，吾但欲救百姓，并无他念。	Đi đến cửa đông thành Tương Dương, chỉ thấy trên mặt thành tinh kỳ phấp phới, trên bờ hào gài chông chà kín mít. Huyền Đức dừng ngựa gọi to rằng: - Hiền điệt Lưu Tôn!
可快开门。”	Ta chỉ vì trăm họ mà đến đây, không có bụng gì đâu, mở cửa ra mau.
刘琮闻玄德至，惧而不出。	Tôn nghe Huyền Đức đến, sợ không dám ra.
蔡瑁、张允径来敌楼上，叱军士乱箭射下。	Sái Mạo và Trương Doãn lên thẳng chòi canh, thét quân sĩ bắn như mưa.
城外百姓，皆望敌楼而哭。	Trăm họ ở ngoài thành đều trông lên chòi canh mà khóc.
城中忽有一将，引数百人径上城楼，大喝：“蔡瑁、张允卖国之贼！	Bỗng trong thành, có một tướng dẫn vài trăm quân lên thẳng lầu thành quát to: - Sái Mạo, Trương Doãn, những thằng giặc bán nước kia!
刘使君乃仁德之人，今为救民而来投，何得相拒！”	Lưu sứ quân vốn người nhân đức, nay vì cứu dân đến đây, sao dám chống cự?
众视其人，身长八尺，面如重枣；乃义阳人也，姓魏，名延，字文长。	Mọi người nhìn xem ai thì là Ngụy Diên, tự là Văn Tràng mình cao tám thước, mặt đỏ như gấc, quê ở Nghĩa Dương.
当下魏延轮刀砍死守门将士，开了城门，放下吊桥，大叫：“刘皇叔快领兵入城，共杀卖国之贼！”	Diên múa đao công đến chém chết tướng sĩ canh cửa, mở toang cửa thành, bỏ cầu treo xuống, gọi to lên: - Xin Lưu Hoàng Thúc mau mang quân vào thành cùng giết những thằng giặc bán nước.
张飞便跃马欲入，玄德急止之曰：“休惊百姓！”	Trương Phi tế ngựa định vào, Huyền Đức vội ngăn lại nói: - Không được làm trăm họ sợ hãi!
魏延只管招呼玄德军马入城。 只见城内一将飞马引军而出，大喝：“魏延无名小卒，安敢造乱！	Ngụy Diên cứ mải gọi quân mã vào thành, bỗng có một tướng tế ngựa ra, quát lên rằng: - Ngụy Diên, mày là môt thằng vô danh tiểu tốt, sao dám làm loạn?
认得我大将文聘么！”	Có biết tao là đại tướng Văn Sính đây không?
魏延大怒，挺枪跃马，便来交战。	Ngụy Diên giận lắm, vác thương tế ngựa đến đánh.
两下军兵在城边混杀，喊声大震。 玄德曰：“本欲保民，反害民也！	Quân sĩ hai bên đánh lộn nhau dưới thành, tiếng reo ầm ĩ, Huyền Đức nói: - Ai ngờ muốn cứu dân lại hóa ra hại dân!
吾不愿入襄阳！”	Ta không muốn vào Tương Dương nữa.
孔明曰：“江陵乃荆州要地，不如先取江陵为家。”	Khổng Minh nói: - Giang Lăng là một nơi hiểm yếu ở Kinh Châu, chi bằng ta hãy ra lấy trước làm nơi căn cứ đã!
玄德曰：“正合吾心。”	Huyền Đức nói: - Chính hợp ý ta.
于是引着百姓，尽离襄阳大路，望江陵而走。	Lập tức đem trăm họ dời Tương Dương, chạy đến Giang Lăng.
襄阳城中百姓，多有乘乱逃出城来，跟玄德而去。	Nhiều dân ở Tương Dương, nhân lúc rối ren, trốn ra theo Huyền Đức.
魏延与文聘交战，从已至未，手下兵卒皆已折尽。 延乃拨马而逃，却寻不见玄德，自投长沙太守韩玄去了。	Ngụy Diên đánh nhau với Văn Sính từ giờ tỵ đến giờ mùi, quân sĩ chết sạch, Diên tế ngựa chạy trốn, tìm mãi không thấy Huyền Đức, phải sang Tràng Sa theo thái thú Hàn Huyền.
却说玄德同行军民十余万，大小车数千辆，挑担背包者不计其数，路过刘表之墓，玄德率众将拜于墓前，哭告曰：“辱弟备无德无才，负兄寄托之重，罪在备一身，与百姓无干。 望兄英灵，垂救荆襄之民！”	Lại nói Huyền Đức cùng đi với hơn mười vạn quân dân, vài nghìn cỗ xe lớn nhỏ và rất nhiều gồng gánh, đồ đạc. Đi qua mộ Lưu Biểu, Huyền Đức đem các tướng đến lạy trước mộ, khóc mà than rằng: - Đứa em nhục nhã là Bị, không tài đức gì, phụ lòng anh ký thác, tội ở một mình em, không can gì đến trăm họ, xin linh hồn anh cứu lấy trăm họ Kinh Tương!
言甚悲切，军民无不下泪。	Huyền Đức khấn thảm thiết lắm, quân dân đều ứa nước mắt.
忽哨马报曰：“曹操大军已屯樊城，使人收拾船筏，即日渡江赶来也。”	Chợt lại có tin báo rằng: - Đại quân Tào Tháo đã đóng ở Phàn Thành, đương sai người chuẩn bị thuyền bè, sắp sửa sang đò đuổi theo.
众将皆曰：“江陵要地，足可拒守。	Các tướng nói: - Giang Lâm hiểm yếu, đủ cự được với giặc.
今拥民众数万，日行十余里，似此几时得至江陵？	Nay đem mấy vạn dân, ngày đi được hơn mười dặm, thì bao giờ mới đến nơi?
倘曹兵到，如何迎敌？	Nếu quân Tào kéo đến thì làm thế nào?
不如暂弃百姓，先行为上。	Chi bằng hãy tạm bỏ dân lại mà đi trước.
玄德泣曰：“举大事者必以人为本。	Huyền Đức khóc rằng: - Ta mưu việc lớn, chẳng qua cũng lấy dân làm gốc.
今人归我，奈何弃之？”	Nay người ta theo mình sao nỡ bỏ!
百姓闻玄德此言，莫不伤感。	Trăm họ nghe nói, ai cũng cảm động.
后人有诗赞之曰：“临难仁心存百姓，登舟挥泪动三军。	Đời sau có thơ than rằng: Gặp loạn tỏ lòng thương bách tính. Lên thuyền gạt lệ cảm ba quân.
至今凭吊襄江口，父老犹然忆使君。”	Đến nay thăm hỏi Tương Giang Khẩu. Phụ lão còn truyền nhớ sứ quân.
却说玄德拥着百姓，缓缓而行。	Lại nói Huyền Đức dẫn trăm họ từ từ tiến đi.
孔明曰：“追兵不久即至。 可遣云长往江夏求救于公子刘琦。 教他速起兵乘船会于江陵。”	Khổng Minh nói: - Quân Tào sắp đuổi đến nơi, nên sai Vân Trường sang Giang Hạ cầu cứu công tử Lưu Kỳ, bảo Kỳ cấp tốc đi thuyền về hội ở Giang Lăng.
玄德从之，即修书令云长同孙乾领五百军往江夏求救；令张飞断后；赵云保护老小；其余俱管顾百姓而行。	Huyền Đức theo lời, liền viết thư sai Vân Trường cùng với Tôn Càn đem năm trăm quân đến Giang Hạ cầu cứu. Trương Phi đi chặn hậu. Triệu Vân bảo vệ gia thuộc, còn các tướng đi trông nom trăm họ.
每日只走十余里便歇。	Mỗi ngày chỉ đi được hơn mười dăm lại nghỉ.
却说曹操在樊城，使人渡江至襄阳，召刘琮相见。	Tào Tháo ở Phàn Thành, sai người sang sông đến Tương Dương triệu Lưu Tôn đến.
琮惧怕不敢往见。	Tôn sợ hãi không dám đi.
蔡瑁、张允请行。 王威密告琮曰：“将军既降，玄德又走，曹操必懈弛无备。	Sái Mạo, Trương Doãn xin đi, Vương Uy Mật nói với Tôn rằng: - Tướng quân đã theo hàng, Huyền Đức lại chạy. Tào Tháo tất lơ là không phòng bị gì.
愿将军奋整奇兵，设于险处击之，操可获矣。	Xin tướng quân phục kỵ binh ở nơi hiểm mà đánh, chắc bắt được Tháo.
获操则威震天下，中原虽广，可传檄而定。	Bắt được Tháo rồi thì uy danh sẽ lừng lẫy thiên hạ; Trung Nguyên dẫu rộng, nhưng chỉ phát một tờ hịch là định xong.
此难遇之机，不可失也。”	Cơ hội này không mấy khi gặp, xin tướng quân chớ để nhỡ.
琮以其言告蔡瑁。	Tôn đem lời ấy, nói với Sái Mạo.
瑁叱王威曰：“汝不知天命，安敢妄言！”	Mạo mắng Vương Uy rằng: - Ngươi không biết mệnh trời, sao dám nói càn?
威怒骂曰：“卖国之徒，吾恨不生啖汝肉！”	Uy giận lắm, mắng lại: - Thằng giặc bán nước kia! Ta chỉ giận không nuốt sống được mày thôi!
瑁欲杀之，蒯越劝止。	Mạo muốn đem giết, Khoái Việt ngăn lại,
瑁遂与张允同至樊城，拜见曹操。 瑁等辞色甚是谄佞。	Mạo cùng Trương Doãn đến Phàn Thành vào bái kiến Tào Tháo, thái độ hết sức xu nịnh.
操问：“荆州军马钱粮，今有多少？”	Tháo hỏi: - Quân mã, tiền lương Kinh Châu, ước được bao nhiêu?
瑁曰：“马军五万，步军十五万，水军八万：共二十八万。	Mạo thưa: - Kỵ binh được ba vạn, quân độ mười lăm vạn, quân thủy tám vạn, cả thảy hai mươi sáu vạn.
钱粮大半在江陵；其余各处，亦足供给一载。”	Lương thảo quá nửa ở Giang Lăng; còn các nơi cũng đủ dùng một năm.
操曰：“战船多少？ 原是何人管领？”	Tháo lại hỏi: Chiến thuyền có bao nhiêu, do ai quản lĩnh?
瑁曰：“大小战船，共七千余只，原是瑁等二人掌管。”	Mạo thưa: - Chiến thuyền lớn nhỏ cả thảy bảy nghìn chiếc, do hai chúng tôi quản lĩnh.
操遂加瑁为镇南侯、水军大都督，张允为助顺侯、水军副都督。	Tháo liền phong cho Sái Mạo làm Trấn Nam hầu thủy quân đại đô đốc; Trương Doãn làm Trợ Thuận hầu thủy quân phó đô đốc.
二人大喜拜谢。	Hai người mừng lắm, lạy tạ.
操又曰：“刘景升既死，其子降顺，吾当表奏天子，使永为荆州之主。”	Tháo lại hỏi: - Lưu Cảnh Thăng mất rồi, mà còn lại biết hàng thuận, ta sẽ tâu với thiên tử cho làm chủ Kinh Châu mãi mãi.
二人大喜而退。	Hai người lạy tạ lui ra.
荀攸曰：“蔡瑁，张允乃谄佞之徒，主公何遂加以如此显爵，更教都督水军乎？”	Tuân Úc nói: - Sái Mạo, Trương Doãn là đồ xiểm nịnh, sao chúa công phong cho tước cao như thế, lại cho làm đô đốc thủy quân?
操笑曰：“吾岂不识人！ 止因吾所领北地之众，不习水战，故且权用此二人；待成事之后，别有理会。	Tháo cười, nói: - Ta sao lại chẳng biết người, chỉ vì quân đất bắc không quen đánh thủy, nên phải tạm dùng bọn chúng. Khi nào việc xong, ta sẽ định liệu.
却说蔡瑁、张允归见刘琮，具言：“曹操许保奏将军永镇荆襄。”	Sái Mạo, Trương Doãn về gặp Lưu Tôn nói: - Tào thừa tướng hứa phong cho chúa công làm chủ Kinh Châu mãi.
琮大喜！ 次日，与母蔡夫人赍捧印缓兵符，亲自渡江拜迎曹操。	Tôn mừng lắm, hôm sau cùng với mẹ là Sái phu nhân đem ấn tín sang sông đón rước Tào Tháo.
操抚慰毕，即引随征军将，进屯襄阳城外。	Tháo phủ dụ xong, lập tức đem quân tướng sang đóng ngoài thành Tương Dương.
蔡瑁、张允令襄阳百姓焚香拜接。	Sái Mạo, Trương Doãn, sai trăm họ trong thành đốt hương đón rước.
曹操俱用好言抚谕。 入城至府中坐定，即召蒯越近前，抚慰曰：“吾不喜得荆州，喜得异度也。”	Tháo lấy lời ngọt ngào ủy lạo, rồi vào thành. Dến phủ ngồi với Khoái Việt, Tháo lại phủ dụ rằng: - Ta không mừng được Kinh Châu, chỉ mừng được đi bộ đó thôi.
遂封蒯越为江陵太守樊城侯；傅巽、王粲等皆为关内侯；而以刘琮为青州刺史，便教起程。	Nói xong, phong cho Việt chức thái thú Giang Lăng, tước Phàn Thành hầu. Bọn Phó Tốn, Vương Sán đều được làm quan nội hầu, và cử Lưu Tôn làm thứ sử Thanh Châu, bắt phải đi ngay lập tức.
琮闻命大惊，辞曰：“琮不愿为官，愿守父母乡土。”	Tôn nghe lệnh thất kinh, từ chối nói rng: - Tôn nay không muốn làm quan, xin cho ở nhà giữ quê hương cha mẹ.
操曰：“青州近帝都，教你随朝为官，免在荆襄被人图害。”	Tháo nói: - Thanh Châu gần Kinh Đô, cho ngươi vào triều đình làm quan, kẻo ở Kinh Tương có kẻ mưu hại.
琮再三推辞，曹操不准。 琮只得与母蔡夫人同赴青州。 只有故将王威相随，其余官员俱送至江口而回。	Tôn hai ba lần từ chối, Tháo không cho, bất đắc dĩ phải cùng Sái phu nhân đi Thanh Châu; chỉ có tướng cũ là Vương Uy đi theo, còn bao nhiêu quan viên đều tiễn đến cửa sông rồi quay về.
操唤于禁嘱咐曰：“你可引轻骑追刘琮母子杀子，以绝后患。”	Tháo gọi Vu Cấm đến dặn rằng: - Ngươi dẫn khinh kỵ đuổi theo, giết cả hai mẹ con đi để khỏi lo hậu loạn.
于禁得令，领众赶上，大喝曰：“我奉丞相令，教来杀汝母子！	Vu Cấm được lệnh, mang quân đuổi theo, thét lớn: - Ta phụng mệnh thừa tướng theo giết mẹ con mày!
可早纳下首级！”	Mau sớm nộp thủ cất đi!
蔡夫人抱刘琮而大哭。	Sái phu nhân ôm Lưu Tôn khóc ầm ĩ.
于禁喝令军士下手。 王威忿怒，奋力相斗，竟被众军所杀。	Vu Cấm thét quân sĩ hạ thủ, Vương Uy tức giận cố sức chống cự, cũng bị giết nốt.
军士杀死刘琮及蔡夫人，于禁回报曹操，操重赏于禁。	Vu Cấm về báo, Tháo trọng thưởng cho,
便使人往隆中搜寻孔明妻小，却不知去向。 原来孔明先已令人搬送至三江内隐避矣。	lại sai đem quân vào Long Trung tìm bắt cho được gia quyến Khổng Minh, nhưng chẳng biết đã dời đi đâu rồi. Số là Khổng Minh biết trước đã sai người mang gia quyến đến lánh ẩn ở Tam Giang.
操深恨之。	Tháo tức lắm.
襄阳既定，荀攸进言曰：“江陵乃荆襄重地，钱粮极广。 刘备若据此地，急难动摇。	Tương Dương đã yên, Tuân Du nói: Giang Lăng là đất hiểm ở Kinh Tương, tiền lương rất nhiều, nếu Lưu Bị chiếm cứ chỗ ấy, thì khó lòng lấy nổi.
操曰：“孤岂忘之！”	Tháo nói: - Ta có quên đâu!
随命于襄阳诸将中，选一员引军开道。	Liền sai chọn một người trong số các tướng ở Tương Dương để dẫn đường.
诸将中却独不见文聘。	Thấy vắng mặt Văn Sính.
操使人寻问，方才来见。	Tháo sai người đi tìm, bấy giờ Sính mới chịu lại hầu.
操曰：“汝来何迟？”	Tháo hỏi: - Sao ngươi chậm trễ thế!
对曰：“为人臣而不能使其主保全境土，心实悲惭，无颜早见耳。”	Sính đáp: - Làm bấy tôi mà không giúp được chủ giữ lấy giang sơn, xấu hổ lắm, không mặt nào đến sớm được.
言讫，欷歔流涕。	Nói xong, sụt sùi khóc.
操曰：“真忠臣也！”	Tháo khen: - Thật là trung thần!
除江夏太守，赐爵关内侯，便教引军开道。	Và cho ngay làm thái thú Giang Hạ tước quan nội hầu, sai đem quân đi mở đường.
探马报说：“刘备带领百姓，日行止十数里，计程只有三百余里。”	Thám mã chạy về báo rằng: - Lưu Bị dẫn bách tính đi chậm lắm, mpĩ ngày chỉ đi được hơn mười dặm; tính đến nay mới đi được hơn ba trăm dặm.
操教各部下精选五千铁骑，星夜前进，限一日一夜，赶上刘备。	Tháo sai kén lấy năm nghìn thiết kỵ cấp tốc đuổi theo, hẹn cho một ngày một đêm phải đuổi kịp Lưu Bị.
大军陆续随后而进。	Đại quân lục tục kéo sau.
却说玄德引十数万百姓、三千余军马，一程程挨着往江陵进发。	Bấy giờ, Huyền Đức dẫn hơn mười vạn dân và hơn ba nghìn quân mã, từ từ kéo sang Giang Lăng.
赵云保护老小，张飞断后。	Triệu Vân thì bảo vệ gia quyến Huyền Đức; Trương Phi đi chặn hậu.
孔明曰：“云长往江夏去了，绝无回音，不知若何。”	Khổng Minh nói: - Vân Trường sang Giang Hạ không thấy tin tức gì cả, không biết ra sao?
玄德曰：“敢烦军师亲自走一遭。	Huyền Đức nói: - Xin phiền quân sư đi cho một chuyến.
刘琦感公昔日之教，今若见公亲至，事必谐矣。”	Lưu Kỳ nhờ ơn quân sư dạy cho khi trước, công việc tất có kết quả.
孔明允诺，便同刘封引五百军先往江夏求救去了。	Khổng Minh vâng lời, liền cùng Lưu Phong đem ngay năm trăm quân sang Giang Hạ cầu cứu.
当日玄德自与简雍、糜竺、糜芳同行。 正行间，忽然一阵狂风就马前刮起，尘土冲天，平遮红日。	Hôm ấy, Huyền Đức cùng đi với Giản Ung, My Chúc, My Phương, bỗng một cơn gió lốc kéo đến trước mặt, đất cát bay mù mịt lấp cả mặt trời.
玄德惊曰：“此何兆也？”	Huyền Đức thất kinh hỏi rằng: - Thế là điềm gì đó?
简雍颇明阴阳，袖占一课，失惊曰：“此大凶之兆也。	Giản Ung giỏi tính âm dương, bấm một quẻ, rồi hoảng sợ nói rằng: - Điềm này hung dữ lắm!
应在今夜。	Chỉ nội đêm nay sẽ xảy ra.
主公可速弃百姓而走。”	Chúa công đành phải bỏ bách tính mà chạy mới thoát.
玄德曰：“百姓从新野相随至此，吾安忍弃之？”	Huyền Đức nói: - Trăm họ theo ta từ Tân Dã đến đây, bỏ rơi sao đành?
雍曰：“主公若恋而不弃，祸不远矣。”	Ung nói: - Chúa công cứ lưu luyến mãi thì tai vạ tới nơi mất.
玄德问：“前面是何处？”	Huyền Đức hỏi rằng: - Trước mặt kia là đâu?
左右答曰：“前面是当阳县。 有座山名为景山。”	Tả hữu đáp: - Trước mặt là huyện Đương Dương, có một trái núi, gọi là Cảnh Sơn.
玄德便教就此山扎住。	Huyền Đức truyền quân tạm đến đóng ở đó.
时秋末冬初，凉风透骨；黄昏将近，哭声遍野。	Bấy giờ, trời cuối thu sang đông, gió lạnh thấu xương, mặt trời sụp lặn, tiếng khóc dậy đất.
至四更时分，只听得西北喊声震地而来。	Độ canh tư, thấy góc tây bắcó tiếng reo hò ầm ĩ vang lại.
玄德大惊，急上马引本部精兵二千余人迎敌。	Huyền Đức giật mình, dẫn hơn hai nghìn tinh binh ra nghênh địch.
曹兵掩至，势不可当。 玄德死战。	Quân tào ùa đến. Không sao địch nổi, Huyền Đức liều chết cầm cự.
正在危迫之际，幸得张飞引军至，杀开一条血路，救玄德望东而走。	Đương khi nguy cấp, may được Trương Phi dẫn quân đến, đánh mở một đường máu, cứu được Huyền Đức rồi nhằm phía đông chạy miết. Văn Sính ra chặn đường.
文聘当先拦住，玄德骂曰：“背主之贼，尚有何面目见人！”	Huyền Đức ra mắng rằng: - Thằng phản chủ kia! Mày còn mặt mũi nào trông thấy người ta nữa?
文聘羞惭满面，引兵自投东北去了。	Văn Sính hổ thẹn quá chừng, dẫn quân chuồn thẳng về phía đông bắc.
张飞保着玄德，且战且走。 奔至天明，闻喊声渐渐远去，玄德方才歇马。	Trương Phi bảo vệ Huyền Đức, vừa đánh vừa chạy, mãi đến sáng thấy tiếng hò reo đã xa.
看手下随行人，止有百余骑；百姓、老小并糜竺、糜芳、简雍、赵云等一干人，皆不知下落。	Huyền Đức mới nghỉ ngựa, nhìn lại thủ hạ thì chỉ còn vẻn vẹn hơn trăm kỵ binh đi theo. Trăm họ, gia quyến và bọn My Chúc, My Phương, Giản Ung, Triệu Vân tất cả hơn nghìn người không biết lạc lõng đâu cả.
玄德大哭曰：“十数万生灵，皆因恋我，遭此大难；诸将及老小，皆不知存亡：虽土木之人，宁不悲乎！”	Huyền Đức khóc ầm lên, nói: - Hơn mười vạn nhân dân, chỉ vì mến ta, nên gặp nạn lớn này; các tướng cùng gia quyến không biết sống chết ra sao, dẫu gỗ đá cũng phải đau xót!
正凄惶时，忽见糜芳面带数箭，踉跄而来，口言：“赵子龙反投曹操去了也！”	Đương lúc buồn rầu, bỗng thầy My Phương mặt vaqn còn cắm mấy cái tên, lò dò đi đến, nói: - Tử Long đi theo Tào Tháo rồi!
玄德叱曰：“子龙是我故交，安肯反乎？” 张飞曰：“他今见我等势穷力尽，或者反投曹操，以图富贵耳！” 玄德曰：“子龙从我于患难，心如铁石，非富贵所能动摇也。”	Huyền Đức mắng rằng: - Tử Long là bạn cũ của ta, lẽ đâu phản bội!
糜芳曰：“我亲见他投西北去了。” 张飞曰：“待我亲自寻他去。 若撞见时，一枪刺死！” 玄德曰：“休错疑了。	Trương Phi nói: - Nay hắn thấy chúng ta thế cùng sức hết Huyền Đức nói: - Không nên hồ đồ như thế.
岂不见你二兄诛颜良、文丑之事乎？	Em há không nhớ chuyện Vân Trường giết Nhan Lương, Văn Sú đó sao?
子龙此去，必有事故。	Tử Long bỏ đi ắt có rủi ra gì đấy.
吾料子龙必不弃我也。”	Ta chắc Tử Long không khi nào bỏ ta.
张飞那里肯听，引二十余骑，至长坂桥。 见桥东有一带树木，飞生一计：教所从二十余骑，都砍下树枝，拴在马尾上，在树林内往来驰骋，冲起尘土，以为疑兵。	Trương Phi không chịu nghe, dẫn hai mươi quân kỵ mã đến cầu Trường Bản; thấy mé đông cầu có một dãy cây cối, Phi nghĩ ngay ra một kế, liền sai quân chặt cành cây buộc vào đuôi ngựa, rồi thúc ngựa chạy tứ tung trong rừng, cho bụi mù lên để làm nghi binh.
飞却亲自横矛立马于桥上，向西而望。	Trương Phi vác mâu, cưỡi ngựa đứng trên cầu, nhìn trừng trừng về phía tây.
