第八十一回急兄仇张飞遇害雪弟恨先主兴兵	HỒI 81 Vội báo thù, Trương Phi bị hại; Mong rửa hận, tiên chủ cất quân
忽报使至，慌忙接入，开读诏旨。	Chợt có sứ giả đến. Phi vội vàng ra tiếp vào, mở đọc chiếu.
飞受爵望北拜毕，设酒款待来使。	Phi chịu tước, ngoảnh về Bắc lạy tạ, rồi mở tiệc thết đãi sứ giả.
飞曰：“吾兄被害，仇深似海；庙堂之臣，何不早奏兴兵？”	Phi hỏi rằng: - Anh ta bị hại, thù sâu như bể, những bầy tôi miếu đường, sao không tâu lên để cất quân đi đánh cho sớm?
使者曰：“多有劝先灭魏而后伐吴者。”	Sứ giả nói: - Lắm người khuyên hoàng thượng đánh Ngụy trước, rồi sau sẽ đánh Ngô.
飞怒曰：“是何言也！	Phi giận nói rằng: - Thế là nghĩa lý gì?
昔我三人桃园结义，誓同生死；今不幸二兄半途而逝，吾安得独享富贵耶！	Khi xưa ba anh em ta kết nghĩa vườn đào, thề cùng nhau sống chết, nay bất hạnh anh thứ hai nửa đường mất sớm, ta ngồi hưởng phú quý một mình sao cho đành?
吾当面见天子，愿为前部先锋，挂孝伐吴，生擒逆贼，祭告二兄，以践前盟！”	Ta phải đến ra mắt thiên tử, xin làm tiền bộ tiên phong, mặc đồ trở sang đánh Ngô, bắt sống quân nghịch tặc, đem về tế anh ta để trọn lời thề xưa mới được.
言讫，就同使命望成都而来。	Nói đoạn đi ngay với sứ giả sang Thành Đô.
却说先主每日自下教场操演军马，克日兴师，御驾亲征。	Tiên chủ bấy giờ ngày nào cũng xuống giáo trường, luyện tập quân mã, sắp sửa ngự giá thân chinh.
于是公卿都至丞相府中见孔明，曰：“今天子初临大位，亲统军伍，非所以重社稷也。 丞相秉钧衡之职，何不规谏？”	Các quan công khanh đến phủ thừa tướng nói với Khổng Minh rằng: - Thiên tử mới lên ngôi lớn, đã muốn thân cầm quân đi đánh giặc, không phải là trọng việc xã tắc, thừa tướng cầm cân nhà nước, sao không can ngăn đi?
孔明曰：“吾苦谏数次，只是不听。	Khổng Minh nói: Ta cố sức can ngăn mấy lần nhưng vẫn không nghe.
今日公等随我入教场谏去。”	Hôm nay cả các ông cùng đi với ta vào giáo trường mà can nhân thể.
当下孔明引百官来奏先主曰：“陛下初登宝位，若欲北讨汉贼，以伸大义于天下，方可亲统六师；若只欲伐吴，命一上将统军伐之可也，何必亲劳圣驾？”	Khi ấy Khổng Minh dẫn các quan vào can rằng: - Bệ hạ mới lên ngôi báu, nếu muốn sang mặt bắc đánh giặc Tào, để tỏ nghĩa lớn ra thiên hạ, thì hãy nên thân chinh. Nhược bằng muốn đánh Ngô, thì chỉ nên sai một thượng tướng cầm quân đi cũng xong, không cần phải khó nhọc đến thánh giá?
先主见孔明苦谏，心中稍回。 忽报张飞到来，先主急召入。	Tiên chủ thấy Khổng Minh can mãi, bụng đã hơi nguôi nguôi, chợt có Trương Phi đến, tiên chủ vội vàng triệu vào.
飞至演武厅拜伏于地，抱先主足而哭。 先主亦哭。	Phi đến nhà diễn võ, lạy phục xuống đất, rồi ôm lấy chân tiên chủ mà khóc.
飞曰：“陛下今日为君，早忘了桃园之誓！	Phi nói: - Bệ hạ nay làm vua, quên mất lời thề vườn đào rồi à?
二兄之仇，如何不报？”	Thù anh hai tôi làm sao không báo?
先主曰：“多官谏阻，未敢轻举。”	Tiên chủ nói: - Lắm người can ngăn nên chưa dám khinh động.
飞曰：“他人岂知昔日之盟？	Phi nói: - Người ta biết đâu lời thề khi xưa!
若陛下不去，臣舍此躯与二兄报仇！	Nếu bệ hạ không đi, tôi xin liều một thân tôi, đánh báo thù cho anh hai.
若不能报时，臣宁死不见陛下也！”	Nếu không báo được, tôi thà rằng chết, chớ không mặt nào trông thấy bệ hạ nữa!
先主曰：“朕与卿同往：卿提本部兵自阆州而出，朕统精兵会于江州，共伐东吴，以雪此恨！”	Tiên chủ nói: - Trẫm với ngươi cùng cất quân đi. Ngươi đem quân bản bộ từ Lãng Trung kéo sang, trẫm dẫn tinh binh hội nhau ở Giang Châu, để cùng đánh Đông Ngô báo cái thù này.
飞临行，先主嘱曰：“朕素知卿酒后暴怒，鞭挞健儿，而复令在左右：此取祸之道也。	Khi Phi sắp ra về, tiên chủ lại dặn rằng: - Trẫm vẫn biết ngươi trong khi say rượu, thường hay hung hăng đánh đập quân sĩ, mà lại cho nó hầu cận tả hữu, đó là con đường gây vạ.
今后务宜宽容，不可如前。”	Từ rày phải khoan hòa, chớ như trước nữa nhé!
飞拜辞而去。	Phi lạy từ trở ra.
次日，先主整兵要行。	Hôm sau, tiên chủ chỉnh binh sắp đi.
学士秦宓奏曰：“陛下舍万乘之躯，而徇小义，古人所不取也。 愿陛下思之。”	Quan học sĩ là Tần Bật tâu rằng: - Bệ hạ đem cái thân quý trọng muôn cỗ xe mà theo làm một điều nghĩa nhỏ, không ai khen gì việc ấy, xin bệ hạ xét cho.
先主曰：“云长与朕，犹一体也。 大义尚在，岂可忘耶？”	Tiên chủ nói: - Trẫm với Vân Trường, đã thề cùng sống chết có nhau, nghĩa lớn còn đó, bỏ làm sao cho được?
宓伏地不起曰：“陛下不从臣言，诚恐有失。”	Bật cứ cúi rạp xuống đất không đứng dậy và nói rằng: - Bệ hạ không nghe lời tôi, tôi chỉ sợ đi thì bất lợi.
先主大怒曰：“朕欲兴兵，尔何出此不利之言！”	Tiên chủ nổi giận nói rằng: - Trẫm sắp cất quân đi, sao ngươi dám gở mồm thế? Liền quát võ sĩ lôi ra chém.
叱武士推出斩之，宓面不改色，回顾先主而笑曰：“臣死无恨，但可惜新创之业，又将颠覆耳！”	Bật bị võ sĩ điệu ra, mặt vẫn ung dung như không, ngoảnh cổ lại cười mà nói rằng: - Tôi chết cũng chẳng hề chi, nhưng chỉ tiếc cơ đồ mới gây dựng lên lại sắp đổ mất thôi.
众官皆为秦宓告免。	Các quan xúm cả vào kêu van cho Tần Bật.
先主曰：“暂且囚下，待朕报仇回时发落。”	Tiên chủ mới nói rằng: - Hãy đem giam cổ nó xuống dưới kia! Khi nào trẫm báo thù xong rồi, về sẽ trị tội.
孔明闻知，即上表救秦宓。	Khổng Minh nghe tin, lập tức dâng biểu cứu Tần Bật.
其略曰：“臣亮等窃以吴贼逞奸诡之计，致荆州有覆亡之祸；陨将星于斗牛，折天柱于楚地：此情哀痛，诚不可忘。	Trong biểu nói rằng: - "Thần là Lượng, thiết nghĩ rằng: Giặc Ngô dùng mẹo quỷ quyệt, đến nỗi Kinh Châu đổ mất, sao tướng tinh sa ở phận Ngu Đẩu, cột chống trời gãy ở xứ Ngô Sở. Xem cái tình hình đau đớn ấy, thực không bao giờ quên!
但念迁汉鼎者，罪由曹操；移刘祚者，过非孙权。	Nhưng lại nghĩ rằng: đời ngôi nhà Hán, là tội tại Tào Tháo, chớ không phải lỗi tại Tôn Quyền.
窃谓魏贼若除，则吴自宾服。	Phỏng thử ta trừ xong Ngụy thì Ngô tự nhiên phải hàng.
愿陛下纳秦宓金石之言，以养士卒之力，别作良图，则社稷幸甚！ 天下幸甚！”	Xin bệ hạ nghe lời vàng đá của Tần Bật để dưỡng. Sức sĩ tốt, tìm kế hay hơn mà làm, thì xã tắc, thiên hạ may lắm".
先主看毕，掷表于地曰：“朕意已决，无得再谏！”	Tiên chủ xem xong bài biểu, quẳng xuống đất, nói rằng: - Ý trẫm đã quyết, không ai được can nữa!
遂命丞相诸葛亮保太子守两川；骠骑将军马超并弟马岱，助镇北将军魏延守汉中，以当魏兵；虎威将军赵云为后应，兼督粮草；黄权、程畿为参谋；马良、陈震掌理文书；黄忠为前部先锋；冯习、张南为副将；傅彤、张翼为中军护尉；赵融、廖淳为合后。	Bèn sai thừa tướng là Gia Cát Lượng trông nom thái tử ở nhà giữ hai Xuyên; sai phiêu kỵ tướng quân Mã Siêu và em là Mã Đại Hiệp trợ với trấn bắc tướng quân Ngụy Diên giữ Hán Trung để địch quân Ngụy, sai hổ oai tướng quân Triệu Vân làm hậu ứng và đốc thúc lương thảo, Hoàng Quyền, Trình Kỳ làm tham mưu, Mã Lương, Trần Chấn coi việc văn thư; Hoàng Trung làm tiền bộ tiên phong; Phùng Tập, Trương Nam làm phó tướng; Phó Đỗng, Trương Dực làm trung quân hiệu úy, Triệu Dong, Trương Thuần làm đoạn hậu.
川将数百员，并五溪番将等，共兵七十五万，择定章武元年七月丙寅日出师。	Tướng ở Xuyên vài trăm viên, cùng với tướng tốt ở rợ Ngũ Khê, cả thảy bảy mươi lăm vạn quân, kén ngày bính dần tháng bảy, năm Chương vũ thứ nhất, ra quân.
却说张飞回到阆中，下令军中；限三日内制办白旗白甲，三军挂孝伐吴。	Trương Phi từ khi trở về Lãng Trung, hạ lệnh trong quân, hẹn trong ba ngày, phải may cờ trắng, áo giáp trắng, để ba quân mặc đồ tang sang đánh Ngô.
次日，帐下两员末将范疆、张达，入帐告曰：“白旗白甲，一时无措，须宽限方可。	Hôm sau, có hai tướng dưới trướng là Phạm Cương, Trương Đạt vào kêu rằng: - Cờ trắng, giáp trắng, một lúc may sao cho kịp.
飞大怒曰：“吾急欲报仇，恨不明日便到逆贼之境，汝安敢违我将令！” 叱武士缚于树上，各鞭背五十。	Xin gia hạn cho mới được.
鞭毕，以手指之曰：“来日俱要完备！ 若违了限，即杀汝二人示众！”	Phi nổi giận nói: - Ta muốn báo thù, đang tức mình không đến ngay được cõi giặc, chúng mày đi để làm gương cho kẻ khác!
打得二人满口出血。	Hai người phải đòn đau quá, hộc cả máu ra đằng miệng.
回到营中商议，范疆曰：“今日受了刑责，着我等如何办得？	Họ trở về dinh bàn chuyện với nhau. Phạm Cương nói: - Hôm nay ta phải đòn thế này, còn ngày mai nữa thì biện làm sao cho kịp?
其人性暴如火，倘来日不完，你我皆被杀矣！”	Người ấy tính nóng như lửa, nếu ngày mai không xong, chúng ta cũng khó toàn mạng!
张达曰：“比如他杀我，不如我杀他。”	Trương Đạt nói: - Để cho hắn giết ta, chẳng thà ta giết hắn trước đi cho rảnh!
疆曰：“怎奈不得近前。”	Cương nói: - Làm thế nào đến gần hắn được mà giết?
达曰：“我两个若不当死，则他醉于床上；若是当死，则他不醉。” 二人商议停当。	Đạt nói: - Nếu số hai chúng ta chưa đáng chết, thì hôm nay hắn say rượu ngủ trên giường, nếu số chúng ta đáng chết thì hắn còn tỉnh.
却说张飞在帐中，神思昏乱，动止恍惚，乃问部将曰：“吾今心惊肉颠，坐卧不安，此何意也？”	Khi ấy, Trương Phi ngồi trong trướng, tinh thần hoảng hốt, đứng ngồi không yên, mới hỏi bộ tướng rằng: - Ta hôm nay nghe nóng ruột đứng ngồi không yên không biết tại làm sao?
部将答曰：“此是君侯思念关公，以致如此。”	Bộ tướng bẩm: - Đó là vì tướng quân tưởng nhớ Quan Công, cho nên sinh ra thế.
飞令人将酒来，与部将同饮，不觉大醉，卧于帐中。	Trương Phi sai mang rượu ra uống với bộ tướng cho giải phiền, không ngờ uống say quá, nằm ngủ trong trướng.
范、张二贼，探知消息，初更时分，各藏短刀，密入帐中，诈言欲禀机密重事，直至床前。	Hai tên giặc Phạm, Trương dò biết được là Phi say rượu rồi, đến canh đầu, mỗi tên giắt một con dao găm cực sắc, đi lẻn vào trong trướng, nói dối là vào bẩm một việc cơ mật, rồi đến thẳng đầu giường Phi.
原来张飞每睡不合眼；当夜寝于帐中，二贼见他须竖目张，本不敢动手。	Xưa nay Phi ngủ, không nhắm mắt bao giờ. Hôm ấy, Phi nằm trong trướng, hai tên trông thấy mắt Phi vẫn mở, râu vểnh ngược, không dám động đến.
因闻鼻息如雷，方敢近前，以短刀刺入飞腹。	Sau vì nghe thấy tiếng Phi ngáy như sấm, hai đứa mới dám bước lại gần, giơ dao đâm một nhát vào giữa bụng Trương Phi.
飞大叫一声而亡。	Phi kêu to được một tiếng thì chết.
时年五十五岁。	Bấy giờ mới có năm mươi lăm tuổi.
后人有诗叹曰：“安喜曾闻鞭督邮，黄巾扫尽佐炎刘。	Người sau có thơ rằng: An Hỉ xưa từng đánh Đốc Bưu, Khăn vàng quét sạch giúp Viêm Lưu.
虎牢关上声先震，长坂桥边水逆流。	Hố Lao ái nọ lừng oai dữ, Tràng Bản cầu kia nổi tiếng reo.
义释严颜安蜀境，智欺张郃定中州。	Nghĩa thả Nghiêm Nhan, yên cõi Thục, Trí lừa Trương Cáp, định Trung Châu.
伐吴未克身先死，秋草长遗阆地愁。”	Thù Ngô chưa báo, thân đà thác, Đất Lãng nghìn thu nội cỏ sầu!
却说二贼当夜割了张飞首级，便引数十人连夜投东吴去了。	Hai thằng giặc cắt ngay đầu Trương Phi, dẫn vài mươi tên đầy tớ đi suốt đêm sang hàng Đông Ngô.
次日，军中闻知，起兵追之不及。	Hôm sau, trong quân nghe chuyện làm vậy, liền cất quân đuổi theo, thì đã muộn rồi.
时有张飞部将吴班，向自荆州来见先主，先主用为牙门将，使佐张飞守阆中。 当下吴班先发表章，奏知天子；然后令长子张苞具棺椁盛贮，令弟张绍守阆中，苞自来报先主。	Bấy giờ có bộ tướng Trương Phi là Ngô Ban, nguyên khi trước ở Kinh Châu lại ra mắt tiên chủ, tiên chủ cho làm nha môn tướng sai ra giúp Trương Phi giữ ở Lãng Trung, Ngô Ban liền dâng biểu tâu với thiên tử, rồi sai con cả Trương Phi là Trương Bào sắm sửa quan quách khâm liệm. Trương Bào để em là Trương Thiệu ở lại giữa Lãng Trung còn mình về báo với tiên chủ.
时先主已择期出师。 大小官僚，皆随孔明送十里方回。	Tiên chủ bấy giờ đã kén ngày ra quân, quan viên lớn nhỏ, theo cả Khổng Minh đi tiễn khỏi mười dặm đường mới trở về.
孔明回至成都，怏怏不乐，顾谓众官曰：“法孝直若在，必能制主上东行也。”	Khổng Minh về đến Thành Đô, sắc mặt buồn rầu, bảo với các quan rằng: - Giá mà Pháp Hiếu Trực còn sống, chắc hẳn ngăn được chúa thượng không sang mặt đông.
却说先主是夜心惊肉颤，寝卧不安。 出帐仰观天文，见西北一星，其大如斗，忽然坠地。	Đêm hôm ấy, tiên chủ tự nhiên thấy rùng mình nóng ruột, trằn trọc không ngủ được, mới ra sân ngẩng mặt lên trời xem thiên văn, thì thấy mé tây bắc có một ngôi sao to bằng cái đấu sa xuống đất.
先主大疑，连夜令人求问孔明。	Tiên chủ nghi lắm, sai người đi ngay đến triệu Khổng Minh để hỏi.
孔明回奏曰：“合损一上将。 三日之内，必有惊报。”	Khổng Minh tâu rằng: - Điềm này tất là mất một đại tướng, trong ba ngày thì biết tin.
先主因此按兵不动。	Tiên chủ nhân thể đóng quân lại, chưa dám đi vội.
忽侍臣奏曰：“阆中张车骑部将吴班，差人赍表至。” 先主顿足曰：“噫！	Hôm sau, sực có quan hầu cận vào tâu rằng: - Bộ tướng của quan xa kỵ tướng quân Trương Phi, là Ngô Ban sai người mang biểu đến dâng. Tiên chủ giẫm chân xuống đất than rằng: - Trời ôi!
三弟休矣！”	Em ba ta hỏng mất rồi!
及至览表，果报张飞凶信。	Khi xem đến biểu, quả nhiên là tin dữ về Trương Phi.
先主放声大哭，昏绝于地。	Tiên chủ khóc ầm lên, ngất lăn xuống đất.
众官救醒。	Các quan cứu tỉnh dậy, khuyên giải một hồi lâu mới nguôi.
次日，人报一队军马骤风而至。	Hôm sau, có một đội quân mã kéo đến, đi nhanh như bay.
先主出营观之。 良久，见一员小将，白袍银铠，滚鞍下马，伏地而哭，乃张苞也。	Tiên chủ ra cửa trại đứng xem, một lát thấy một tướng trẻ tuổi, áo trắng giáp bạc, vùng nhảy ngay xuống ngựa, lạy rập xuống đất mà khóc.
苞曰：“范疆、张达杀了臣父，将首级投吴去了！”	Tiên chủ trông ra thì là Trương Bào. Bào thưa: - Phạm Cương, Trương Đạt giết mất cha tôi, đem đầu sang hàng Ngô rồi!
先主哀痛至甚，饮食不进。	Tiên chủ đau đớn khóc lóc, bỏ cả ăn uống.
群臣苦谏曰：“陛下方欲为二弟报仇，何可先自摧残龙体？”	Quần thần can rằng: - Bệ hạ muốn báo thù cho hai em, sao lại vật vã long thể làm vậy?
先主方才进膳，遂谓张苞曰：“卿与吴班，敢引本部军作先锋，为卿父报仇否？”	Tiên chủ bấy giờ mới chịu ăn cơm. Rồi bảo với Trương Bào rằng: - Mày có dám dẫn quân bản bộ, cùng với Ngô Ban làm tiên phong, để đánh báo thù cho cha mày không?
苞曰：“为国为父，万死不辞！”	Bào tâu: - Vì nước vì cha, muôn chết cũng không dám từ!
先主正欲遣苞起兵，又报一彪军风拥而至。 先主令侍臣探之。 须臾，侍臣引一小将军，白袍银铠，入营伏地而哭。	Tiên chủ vừa định sai Trương Bào đi, thì lại thấy một toán quân sồng sộc kéo đến; tiên chủ sai người ra xem quân nào thì thấy thị thần dẫn một tướng trẻ tuổi, cũng mặc áo trắng giáp bạc, vào dinh ra mắt tiên chủ.
先主视之，乃关兴也。 先主见了关兴，想起关公，又放声大哭。	Tướng ấy vào đến nơi phục xuống đất mà khóc, té ra là Quan Hưng. Tiên chủ trông thấy Quan Hưng, nhớ đến Quan Công lại khóc.
众官苦劝。	Các quan cố sức can gián.
先主曰：“朕想布衣时，与关、张结义，誓同生死；今朕为天子，正欲与两弟同享富贵，不幸俱死于非命！ 见此二侄，能不断肠！”	Tiên chủ nói: - Trẫm từ thuở hàn vi, kết nghĩa với Quan, Trương thề cùng sống chết. Nay trẫm làm thiên tử, vừa được đến ngày cùng với hai em hưởng phú quý, chẳng may đều chết không được toàn mạng, nay trông thấy hai cháu ở đây, ai chẳng đứt ruột?
言讫又哭。	Nói rồi lại khóc lóc sầu thảm.
众官曰：“二小将军且退。 容圣上将息龙体。”	Các quan nói: - Hai tướng hãy ra ngoài kia, để thánh thượng nghỉ ngơi.
侍臣奏曰：“陛下年过六旬，不宜过于哀痛。”	Thị thần tâu rằng: - Bệ hạ ngoài sáu mươi tuổi rồi, không nên thương xót vật vã lắm.
先主曰：“二弟俱亡，朕安忍独生！” 言讫，以头顿地而哭。	Tiên chủ khóc mà nói rằng: - Hai em chết cả rồi, trẫm sống một mình làm gì?
多官商议曰：“今天子如此烦恼，将何解劝？”	Các quan bàn với nhau rằng: Thiên tử sầu não như vậy, làm thế nào cho khuây giải được?
马良曰：“主上亲统大兵伐吴，终日号泣，于军不利。”	Mã Lương nói: - Thiên tử thân cầm quân sang đánh Ngô, mà cả ngày cứ khóc lóc thế này, tôi e rằng mang quân đi không được lợi.
陈震曰：“吾闻成都青城山之西，有一隐者，姓李，名意。 世人传说此老已三百余岁，能知人之生死吉凶，乃当世之神仙也。	Trần Chấn nói: - Tôi nghe ở phía tây núi Thanh Thành, thuộc về Thành Đô, có một người ẩn dật, họ Lý tên Ý, sống lâu ba trăm tuổi, biết được số người ta sống chết lành dữ, cũng là một ông tiên thời nay.
何不奏知天子，召此老来，问他吉凶，胜如吾等之言。”	Ta nên tâu với thiên tử, mời ông cụ ấy lại hỏi xem việc hay dở ra làm sao, còn hơn chúng ta can ngăn.
遂入奏先主。	Bèn vào tâu với tiên chủ.
先主从之，即遣陈震赍诏，往青城山宣召。	Tiên chủ nghe lời, sai Trần Chấn mang chiếu thư đến núi vời ông cụ ấy.
震星夜到了青城，令乡人引入出谷深处，遥望仙庄，清云隐隐，瑞气非凡。	Trần Chấn phụng mệnh đi triệu, sai người xứ ấy đưa đường, đi cùng kiệt mãi vào trái núi trong rừng sâu, trông mé xa có một tòa nhà. Trần Chấn ngắm nhìn chung quanh, mây thanh khí mát, phong cảnh lạ lùng, quả là một nơi tiên cảnh.
忽见一小童来迎曰：“来者莫非陈孝起乎？”	Khi gần đến cửa ngõ, thì một tiểu đồng chạy ra đón, bảo rằng: - Ông có phải là Trần Hiếu Khởi đó không?
震大惊曰：“仙童如何知我姓字！”	Trần Chấn giật mình hỏi: - Tiểu đồng sao lại biết cả họ tên ta thế?
童子曰：“吾师昨者有言：今日必有皇帝诏命至；使者必是陈孝起。”	Tiểu đồng nói: - Thầy tôi hôm qua nói hôm nay tất có chiếu mệnh thiên tử đến đây, sứ giả là Trần Hiếu Khởi.
震曰：“真神仙也！	Chấn nói: - Thế mới thực là tiên!
人言信不诬矣！”	Lời đồn không ngoa chút nào!
遂与小童同入仙庄，拜见李意，宣天子诏命。	Mới cùng với tiểu đồng vào nhà trong ra mắt Lý Ý. Chấn đưa chiếu trình lên, Ý từ chối vì già yếu, không sao đi được. Chấn nói: - Thiên tử muốn được tiếp tiên ông lắm, xin tiên ông chở quản công xe hạc, đi cho một chút.
李意推老不行。	Lý Ý nhất định không đi.
震曰：“天子急欲见仙翁一面，幸勿吝鹤驾。”	Chấn khẩn khoản hai ba lần, Ý mới chịu.
再三敦请，李意方行。	Khi đến ngự doanh, Lý Ý vào yết kiến tiên chủ.
即至御营，入见先主。 先主见李意鹤发童颜，碧眼方瞳，灼灼有光，身如古柏之状，知是异人，优礼相待。	Tiên chủ trông thấy người ấy đầu bạc phơ phơ mà mặt mũi còn trẻ, mắt biếc con ngươi vuông, sáng quắc như mặt kính, hình thù gầy gò như cây bách cổ thụ, tiên chủ biết là người lạ, tiếp đãi tử tế.
李意曰：“老夫乃荒山村叟，无学无识。 辱陛下宣召，不知有何见谕？”	Lý Ý tâu rằng: - Lão phu là một người già ở nơi quê mùa, ngu si đần độn, bệ hạ cho triệu đến, không biết ngài có điều gì truyền bảo đây?
先主曰：“朕与关、张二弟生死之交，三十余年矣。	Tiên chủ nói: - Trẫm cùng với Quan, Trương hai em, kết nghĩa sống chết hơn ba mươi năm rồi.
今二弟被害，亲统大军报仇，未知休咎如何。	Nay chẳng may hai em bị hại, trẫm thân cầm đại quân, đi đánh báo thù, chưa biết hay dở làm sao.
久闻仙翁通晓玄机，望乞赐教。”	Nghe tiên ông thông hiểu huyền cơ của tạo hóa, xin bảo cho biết trước thì hay lắm.
李意曰：“此乃天数，非老夫所知也。”	Lý Ý đáp: - Đó là số trời, lão phu biết sao được!
先主再三求问，意乃索纸笔画兵马器械四十余张，画毕便一一扯碎。	Tiên chủ cố hỏi gặng hai ba lần, Lý Ý xin giấy bút, rồi vẽ những binh mã khí giới, hơn bốn mươi tờ, vẽ xong, lại xé vụn cả ra.
又画一大人仰卧于地上，傍边一人掘土埋之，上写一大“白”字，遂稽首而去。	Lại vẽ một người to lớn vụn cả ra. Lại vẽ một người to lớn nằm trên mặt đất, bên cạnh có một người đào đất để chôn, mé trên viết một chữ "Bạch" lớn. Rồi cúi đầu đi ra.
先主不悦，谓群臣曰：“此狂叟也！ 不足为信。”	Tiên chủ thấy vậy không bằng lòng, bảo với quần thần rằng: - Lão này chẳng qua là một lão điên, tin làm quái gì!
即以火焚之，便催军前进。	Lập tức lấy lửa đốt sạch những giấy ấy, rồi giục quân tiến đi.
张苞入奏曰：“吴班军马已至。 小臣乞为先锋。”	Trương Bào tâu rằng: - Quân mã Ngô Ban đã đến đây, tiểu thần xin làm tiên phong.
先主壮其志，即取先锋印赐张苞。	Tiên chủ khen là người có chí giỏi, lập tức ban ấn tiên phong cho Trương Bào.
苞方欲挂印，又一少年将奋然出曰：“留下印与我！”	Bào sắp sửa lĩnh ấn, lại có một tướng tuổi trẻ xăm xăm chạy đến nói rằng: - Hãy để ấn đấy cho ta.
视之，乃关兴也。	Chúng trông ra thì là Quan Hưng.
苞曰：“我已奉诏矣。”	Bào nói: - Ta đã phụng chiếu rồi.
兴曰：“汝有何能，敢当此任？”	Hưng nói: - Mày có tài cán gì, mà dám nhận việc ấy?
苞曰：“我自幼习学武艺，箭无虚发。”	Bào nói: - Ta học nghề võ từ thuở nhỏ, bắn tên không sai một phát nào.
先主曰：“朕正要观贤侄武艺，以定优劣。”	Tiên chủ nói: - Trẫm đang muốn xem võ nghệ của hai cháu để định kẻ hơn người kém.
苞令军士于百步之外，立一面旗，旗上画一红心。 苞拈弓取箭，连射三箭，皆中红心。	Bào sai quân cắm một lá cờ ở ngoài trăm bước, trên lá cờ vẽ một cái vòng đỏ, rồi giương cung lên, bắn luôn ba phát, đều tin vào giữa vòng.
众皆称善。	Người đứng chung quanh, ai cũng khen là bắn giỏi.
关兴挽弓在手曰：“射中红心何足为奇？”	Quan Hưng cũng giương cung ra, nói: - Bắn tin vào vòng, cũng chưa là giỏi!
正言间，忽值头上一行雁过。	Lúc ấy có một đàn nhạn bay trên trời.
兴指曰：“吾射这飞雁第三只。” 一箭射去，那只雁应弦而落。	Hưng trỏ vào con nhạn thứ ba mà nói rằng: - Xem ta bắn con nhạn bay thứ ba đây này! Nói buông lời, bắn lên một phát, quả nhiên tin vào ngay con nhạn bay thứ ba.
文武官僚，齐声喝采。	Con nhạn sa xuống. Các quan văn võ reo ầm cả lên.
